sample_id,step_index,domain,trajectory_type,deepseek-v4-flash,zhipu_glm_4_7,zhipu_glm_5_turbo,deepseek-v4-pro,zhipu_glm_5_1,zhipu_glm_5_2
parallel:Travel:simple_ver:163,0,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:simple_ver:163,1,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:simple_ver:163,2,Travel,parallel,0.666667,0.111111,0.666667,0.666667,0.666667,0.666667
parallel:Travel:hard_ver:28,0,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,1,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,2,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,3,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,4,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,5,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,6,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Travel:hard_ver:28,7,Travel,parallel,0.125000,0.125000,0.250000,0.250000,0.250000,0.250000
parallel:Weather:simple_ver:6,0,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,1,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,2,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:simple_ver:6,3,Weather,parallel,0.333333,0.333333,0.361111,0.333333,0.333333,0.166667
parallel:Weather:hard_ver:189,0,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,1,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,2,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,3,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,4,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,5,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,6,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Weather:hard_ver:189,7,Weather,parallel,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
parallel:Finance:simple_ver:70,0,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
parallel:Finance:simple_ver:70,1,Finance,parallel,0.703704,0.703704,0.703704,0.740741,0.703704,0.851852
